"YEAR","DATANUM","SERIAL","HHWT","STATEFIP","PUMA","GQ","CINETHH","PERNUM","PERWT","SEX","AGE","RACE","RACED","HISPAN","HISPAND","POVERTY"
2016,1,521881,25,21,2700,1,1,1,24,2,64,1,100,0,0,501
2016,1,521881,25,21,2700,1,1,2,25,1,66,1,100,0,0,501
2016,1,521881,25,21,2700,1,1,3,27,1,45,1,100,0,0,501
2016,1,521881,25,21,2700,1,1,4,44,1,18,1,100,0,0,501
2016,1,521881,25,21,2700,1,1,5,30,1,6,1,100,0,0,0
2016,1,521882,84,21,2600,1,1,1,84,1,75,1,100,0,0,433
2016,1,521882,84,21,2600,1,1,2,69,2,76,1,100,0,0,433
2016,1,521883,82,21,1704,1,1,1,81,2,37,2,200,0,0,501
2016,1,521883,82,21,1704,1,1,2,76,1,14,2,200,0,0,501
2016,1,521884,12,21,1300,1,3,1,12,1,76,1,100,0,0,157
2016,1,521885,53,21,1400,1,1,1,53,1,64,1,100,0,0,254
2016,1,521885,53,21,1400,1,1,2,60,2,58,1,100,0,0,254
2016,1,521886,65,21,2300,1,3,1,64,1,54,1,100,0,0,501
2016,1,521886,65,21,2300,1,3,2,56,2,51,1,100,0,0,501
2016,1,521886,65,21,2300,1,3,3,59,1,29,1,100,0,0,501
2016,1,521887,118,21,300,3,0,1,118,1,47,1,100,0,0,0
2016,1,521888,63,21,1705,1,1,1,62,1,35,2,200,0,0,226
2016,1,521888,63,21,1705,1,1,2,59,2,34,2,200,0,0,226
2016,1,521888,63,21,1705,1,1,3,66,1,8,2,200,0,0,226
2016,1,521888,63,21,1705,1,1,4,65,1,6,2,200,0,0,226
2016,1,521888,63,21,1705,1,1,5,44,2,1,2,200,0,0,226
2016,1,521889,97,21,1400,1,1,1,96,1,52,1,100,0,0,385
2016,1,521889,97,21,1400,1,1,2,131,1,12,1,100,0,0,385
2016,1,521890,100,21,1701,4,0,1,100,1,19,1,100,0,0,0
2016,1,521891,120,21,1400,1,3,1,120,2,82,1,100,0,0,249
2016,1,521892,21,21,1702,1,1,1,22,2,56,1,100,0,0,501
2016,1,521892,21,21,1702,1,1,2,22,1,53,1,100,0,0,501
2016,1,521893,53,21,1902,1,1,1,53,2,53,1,100,0,0,501
2016,1,521893,53,21,1902,1,1,2,56,1,19,1,100,0,0,501
2016,1,521894,37,21,300,1,2,1,37,1,83,1,100,0,0,1
2016,1,521895,37,21,1704,1,1,1,37,1,73,1,100,0,0,372
2016,1,521895,37,21,1704,1,1,2,32,2,68,1,100,0,0,372
2016,1,521896,58,21,1701,3,0,1,58,1,24,1,100,0,0,0
2016,1,521897,105,21,1702,1,1,1,105,2,56,1,100,0,0,501
2016,1,521897,105,21,1702,1,1,2,111,1,44,1,100,0,0,501
2016,1,521897,105,21,1702,1,1,3,109,1,12,1,100,0,0,501
2016,1,521898,47,21,2300,1,1,1,47,1,53,1,100,0,0,501
2016,1,521898,47,21,2300,1,1,2,41,2,50,1,100,0,0,501
2016,1,521898,47,21,2300,1,1,3,54,2,23,1,100,0,0,501
2016,1,521899,58,21,100,1,1,1,58,2,33,1,100,0,0,73
2016,1,521899,58,21,100,1,1,2,48,1,8,1,100,0,0,73
2016,1,521900,29,21,400,3,0,1,29,2,92,1,100,0,0,0
2016,1,521901,31,21,600,1,1,1,30,2,68,1,100,0,0,179
2016,1,521902,52,21,1100,1,2,1,52,2,26,1,100,0,0,94
2016,1,521902,52,21,1100,1,2,2,178,2,22,1,100,0,0,33
2016,1,521903,16,21,1300,3,0,1,16,1,63,1,100,0,0,0
2016,1,521904,83,21,1400,1,1,1,83,2,68,1,100,0,0,289
2016,1,521904,83,21,1400,1,1,2,69,1,59,1,100,0,0,289
2016,1,521905,97,21,600,1,3,1,97,1,67,1,100,0,0,501
2016,1,521905,97,21,600,1,3,2,93,2,65,1,100,0,0,501
2016,1,521906,442,21,1300,1,1,1,442,1,44,2,200,0,0,71
2016,1,521907,47,21,700,1,3,1,48,1,50,1,100,0,0,142
2016,1,521907,47,21,700,1,3,2,47,2,47,1,100,0,0,142
2016,1,521908,4,21,1704,4,0,1,4,1,59,1,100,0,0,98
2016,1,521909,66,21,300,3,0,1,66,1,65,1,100,0,0,0
2016,1,521910,106,21,2700,1,1,1,106,1,59,1,100,0,0,501
2016,1,521910,106,21,2700,1,1,2,100,2,60,1,100,0,0,501
2016,1,521911,119,21,100,1,1,1,119,1,35,1,100,0,0,283
2016,1,521912,105,21,100,1,1,1,104,2,61,1,100,0,0,501
2016,1,521913,78,21,400,1,1,1,77,1,65,1,100,0,0,104
2016,1,521913,78,21,400,1,1,2,73,2,64,1,100,0,0,104
2016,1,521914,83,21,700,1,1,1,83,1,64,1,100,0,0,172
2016,1,521915,78,21,2300,1,1,1,78,2,30,1,100,0,0,391
2016,1,521915,78,21,2300,1,1,2,98,1,46,1,100,0,0,391
2016,1,521915,78,21,2300,1,1,3,75,2,0,1,100,0,0,391
2016,1,521915,78,21,2300,1,1,4,54,1,0,1,100,0,0,391
2016,1,521916,58,21,400,1,3,1,58,2,34,1,100,0,0,96
2016,1,521916,58,21,400,1,3,2,82,1,37,1,100,0,0,291
2016,1,521917,103,21,2500,1,1,1,103,1,43,1,100,0,0,360
2016,1,521917,103,21,2500,1,1,2,113,2,44,1,100,0,0,360
2016,1,521917,103,21,2500,1,1,3,123,2,15,1,100,0,0,360
2016,1,521917,103,21,2500,1,1,4,88,2,7,1,100,0,0,360
2016,1,521918,212,21,1703,1,1,1,212,2,32,1,100,0,0,198
2016,1,521918,212,21,1703,1,1,2,247,1,35,1,100,0,0,198
2016,1,521918,212,21,1703,1,1,3,192,1,5,1,100,0,0,198
2016,1,521919,60,21,1800,1,3,1,60,2,70,1,100,0,0,170
2016,1,521920,53,21,1100,1,1,1,53,1,44,1,100,0,0,66
2016,1,521920,53,21,1100,1,1,2,74,2,46,1,100,0,0,66
2016,1,521920,53,21,1100,1,1,3,109,1,17,1,100,0,0,66
2016,1,521921,120,21,300,1,1,1,120,1,51,1,100,0,0,460
2016,1,521922,44,21,2000,1,1,1,44,2,66,1,100,0,0,501
2016,1,521923,79,21,2400,1,1,1,79,1,68,1,100,0,0,501
2016,1,521924,62,21,1701,1,3,1,62,1,73,1,100,0,0,79
2016,1,521925,63,21,1701,1,1,1,63,2,36,2,200,0,0,110
2016,1,521925,63,21,1701,1,1,2,87,1,16,2,200,0,0,110
2016,1,521925,63,21,1701,1,1,3,88,1,16,2,200,0,0,110
2016,1,521925,63,21,1701,1,1,4,86,1,5,2,200,0,0,110
2016,1,521926,27,21,1300,1,1,1,26,1,70,2,200,0,0,431
2016,1,521926,27,21,1300,1,1,2,33,2,61,1,100,0,0,431
2016,1,521926,27,21,1300,1,1,3,36,1,24,8,801,0,0,431
2016,1,521927,25,21,200,1,3,1,26,1,47,1,100,0,0,60
2016,1,521928,155,21,2500,1,1,1,156,1,59,1,100,0,0,501
2016,1,521928,155,21,2500,1,1,2,167,1,33,1,100,0,0,501
2016,1,521928,155,21,2500,1,1,3,118,2,12,1,100,0,0,501
2016,1,521928,155,21,2500,1,1,4,118,2,9,1,100,0,0,501
2016,1,521928,155,21,2500,1,1,5,135,2,30,1,100,0,0,501
2016,1,521929,9,21,2100,3,0,1,9,2,17,1,100,0,0,0
2016,1,521930,144,21,300,1,1,1,144,2,62,1,100,0,0,241
2016,1,521931,26,21,1200,1,3,1,26,2,55,1,100,0,0,238
2016,1,521932,25,21,100,1,1,1,25,2,65,1,100,0,0,425
2016,1,521932,25,21,100,1,1,2,17,1,61,1,100,0,0,425
2016,1,521933,67,21,2000,1,1,1,68,1,57,1,100,0,0,501
2016,1,521933,67,21,2000,1,1,2,56,2,54,1,100,0,0,501
2016,1,521934,89,21,500,1,1,1,89,2,21,1,100,0,0,121
2016,1,521934,89,21,500,1,1,2,101,2,21,1,100,0,0,2
2016,1,521934,89,21,500,1,1,3,101,2,20,1,100,0,0,2
2016,1,521934,89,21,500,1,1,4,101,2,19,1,100,0,0,19
2016,1,521935,71,21,1702,1,1,1,71,1,76,1,100,0,0,278
2016,1,521936,70,21,1703,1,1,1,70,1,57,1,100,0,0,501
2016,1,521936,70,21,1703,1,1,2,85,2,53,1,100,0,0,501
2016,1,521936,70,21,1703,1,1,3,87,1,23,1,100,0,0,501
2016,1,521936,70,21,1703,1,1,4,90,2,22,1,100,0,0,501
2016,1,521937,42,21,300,4,0,1,42,1,19,1,100,0,0,0
2016,1,521938,111,21,2000,1,1,1,111,2,55,1,100,0,0,501
2016,1,521938,111,21,2000,1,1,2,84,1,65,1,100,0,0,501
2016,1,521938,111,21,2000,1,1,3,111,2,29,1,100,0,0,501
2016,1,521939,51,21,1200,1,1,1,51,2,73,1,100,0,0,216
2016,1,521940,65,21,2000,1,1,1,65,2,60,1,100,0,0,501
2016,1,521940,65,21,2000,1,1,2,60,1,59,1,100,0,0,501
2016,1,521941,35,21,2000,1,2,1,36,2,52,1,100,0,0,501
2016,1,521941,35,21,2000,1,2,2,41,1,53,1,100,0,0,501
